Variable:,tas
Country:,Egypt
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,12.29,11.92,17.21,21.58,25.71,30.06,29.52,30.03,26.55,25.12,19.09,13.43
1993,12.58,13.12,17.16,23.28,25.90,28.93,29.42,29.99,28.20,26.21,20.40,16.64
1994,14.83,14.33,17.40,24.06,26.64,28.18,30.15,29.89,28.82,26.63,18.15,13.33
1995,13.19,14.89,18.61,21.83,25.65,31.15,30.64,30.18,29.14,24.41,17.42,14.49
1996,14.09,15.59,18.46,21.71,28.17,28.56,29.67,30.10,29.42,23.83,19.39,15.18
1997,14.69,13.00,16.67,21.39,26.86,29.64,30.53,29.84,27.29,24.20,19.51,14.58
1998,13.69,15.32,16.38,24.44,27.64,28.66,30.60,31.35,29.18,25.24,19.84,15.18
1999,14.09,15.92,18.51,22.38,27.33,28.76,30.43,30.69,29.02,25.23,20.03,15.50
2000,13.10,13.72,16.78,23.91,26.40,28.50,30.75,29.59,27.57,23.33,19.31,15.09
2001,14.05,14.72,20.75,23.54,27.01,28.57,30.45,31.05,28.83,24.20,19.22,14.78
2002,12.35,16.22,19.55,22.90,26.42,28.75,31.40,30.95,29.44,25.14,20.19,15.31
2003,15.31,13.94,16.65,23.44,27.97,29.97,30.29,30.54,28.35,25.15,19.97,14.62
2004,13.57,15.28,19.43,22.81,27.72,28.79,30.63,29.82,27.75,25.16,19.97,14.89
2005,13.86,15.63,18.77,23.16,26.04,29.14,30.64,30.70,28.78,24.14,18.44,16.17
2006,14.08,16.20,19.20,22.75,26.46,29.92,29.96,31.10,28.97,24.85,17.83,14.26
2007,13.17,15.39,18.69,22.96,27.52,29.85,30.65,30.74,27.60,25.48,19.82,15.17
2008,12.53,13.88,21.01,23.91,26.99,30.72,30.63,31.00,29.23,24.27,20.30,16.32
2009,15.03,15.89,17.85,23.75,26.02,30.21,30.52,30.18,28.60,25.68,19.26,15.84
2010,15.94,17.74,21.02,24.28,27.26,30.69,30.81,31.62,29.60,27.18,21.64,16.58
2011,14.39,16.46,18.26,22.46,26.61,29.43,30.97,30.44,28.36,24.40,17.21,14.68
2012,12.42,15.08,17.31,24.33,27.83,30.64,31.68,31.14,28.54,26.11,20.89,15.59
2013,14.54,16.38,20.52,22.71,28.34,29.90,29.69,30.22,28.60,23.61,20.81,15.06
2014,14.76,16.15,19.36,24.56,27.50,29.68,30.76,30.65,28.92,24.70,19.60,16.64
2015,13.45,15.53,19.96,22.12,27.68,29.37,30.70,31.45,30.39,26.44,19.88,13.83
2016,13.19,16.64,20.36,25.53,27.77,31.54,30.67,30.83,28.90,25.72,20.41,13.95
2017,13.33,14.14,18.73,23.34,27.51,30.53,31.30,31.34,28.70,24.17,18.96,17.02
2018,13.98,17.95,21.63,24.19,28.89,30.82,30.90,31.07,29.27,25.26,19.61,14.99
2019,13.00,15.01,17.60,22.42,27.95,31.10,31.47,30.71,28.60,26.12,20.63,15.45
2020,12.73,14.95,18.97,22.66,26.35,27.75,30.82,30.90,30.43,26.85,18.90,16.54
2021,15.42,15.81,19.24,23.91,28.56,29.57,31.55,31.44,28.69,25.31,21.17,15.34
