Variable:,tas
Country:,Canada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-24.29,-18.40,-15.19,-5.43,3.12,9.85,12.91,12.19,5.42,-3.50,-12.36,-18.85
1992,-19.87,-20.69,-13.74,-7.76,1.26,8.11,11.18,10.57,4.15,-2.51,-11.02,-20.27
1993,-21.98,-21.57,-13.92,-6.05,3.09,8.90,12.33,11.19,4.80,-2.18,-12.64,-18.69
1994,-25.37,-24.70,-13.70,-6.68,2.77,10.01,13.41,11.49,6.54,-0.23,-10.89,-17.24
1995,-19.93,-21.09,-15.61,-5.97,2.08,10.69,12.48,11.36,5.85,-1.46,-12.72,-19.90
1996,-25.79,-19.40,-16.93,-6.74,0.66,9.60,12.95,11.43,5.90,-3.23,-13.07,-19.01
1997,-23.18,-19.74,-17.29,-7.17,1.36,9.65,13.18,11.46,6.60,-2.81,-10.01,-14.73
1998,-23.31,-16.45,-14.18,-3.45,4.65,10.29,13.97,12.74,7.15,-0.46,-9.14,-16.88
1999,-22.13,-17.66,-12.40,-4.57,2.65,9.55,12.44,11.83,6.43,-2.35,-9.26,-15.61
2000,-22.10,-18.16,-12.05,-6.69,1.56,8.35,13.19,11.14,5.20,-1.76,-10.24,-20.34
2001,-18.48,-21.34,-13.76,-6.14,2.97,9.19,13.17,12.36,7.03,-1.78,-9.37,-15.73
2002,-20.66,-20.34,-18.20,-8.80,0.23,9.40,13.02,11.24,6.43,-2.71,-10.11,-14.51
2003,-19.94,-22.54,-17.05,-6.66,2.76,9.07,13.41,12.17,6.53,-0.11,-11.19,-15.78
2004,-24.42,-18.94,-15.69,-6.56,0.47,8.55,12.82,10.64,5.54,-1.80,-10.30,-19.97
2005,-23.07,-18.85,-13.73,-4.14,2.95,9.71,12.79,11.50,6.30,-0.37,-9.28,-15.74
2006,-17.95,-18.32,-13.19,-3.89,4.07,10.73,13.59,11.81,6.95,-1.33,-12.25,-14.43
2007,-19.28,-21.11,-16.07,-5.66,1.89,9.61,14.12,11.10,5.37,-0.73,-11.44,-19.33
2008,-21.33,-21.95,-16.98,-6.49,2.96,9.64,13.33,11.88,5.80,-0.79,-9.63,-21.37
2009,-22.05,-20.43,-17.38,-6.22,0.72,9.12,12.55,11.64,7.56,-2.92,-8.37,-17.83
2010,-19.13,-16.28,-10.67,-2.64,2.56,9.42,13.64,12.37,5.84,0.10,-9.13,-16.82
2011,-20.43,-20.48,-16.31,-7.82,2.57,9.24,13.47,12.15,6.93,-0.35,-10.80,-15.75
2012,-20.71,-17.31,-13.48,-5.58,3.19,10.19,14.27,12.46,7.31,-2.28,-12.17,-18.63
2013,-21.45,-19.33,-14.52,-8.06,2.47,10.10,12.89,12.05,6.87,-0.41,-12.11,-22.09
2014,-20.03,-22.38,-18.12,-7.77,2.73,9.90,13.48,11.99,5.73,-0.75,-12.74,-16.48
2015,-21.10,-22.90,-15.04,-6.24,2.78,9.77,13.08,11.92,6.43,-1.22,-9.89,-16.01
2016,-18.13,-18.36,-13.06,-6.77,3.77,10.04,13.44,12.42,6.60,-2.05,-7.79,-19.30
2017,-19.06,-19.06,-15.95,-6.43,2.86,9.67,13.26,12.13,7.16,-0.96,-12.58,-17.74
2018,-21.11,-22.36,-14.41,-8.60,2.43,9.28,13.52,11.45,4.29,-3.05,-12.34,-16.46
2019,-21.85,-23.11,-14.20,-6.49,2.07,9.01,13.08,11.21,6.24,-1.64,-10.98,-17.28
2020,-20.86,-19.87,-15.61,-7.53,1.60,9.48,13.63,11.80,5.85,-3.01,-11.43,-15.81
2021,-17.95,-22.03,-14.17,-6.15,1.67,10.35,13.54,12.13,6.66,-0.32,-10.46,-19.09
